stemmed_tokens,clean_sangat
"['sarap', 'nikmat', 'jalan', 'kenang', 'masa', 'kuliah']",['kenang']
"['makan', 'lumayan', 'banyak', 'kamar', 'sesuai', 'minta', 'konfirmasi', 'lebih', 'layan', 'layan', 'kurang']",['sesuai']
"['muas', 'variatif', 'kamar', 'bersih', 'khusus', 'balkon', 'kalau', 'buka', 'pintu', 'resepsionis']",['bersih']
"['hotel', 'lokasi', 'strategis', 'dekat', 'bandara', 'makan', 'enak', 'agam', 'fasilitas', 'hotel', 'cukup', 'lengkap', 'kolam', 'renang', 'lantai', 'atas', 'interior', 'ornamen', 'khas', 'ruang', 'luas', 'blower', 'berisik']","['enak', 'berisik']"
"['menu', 'masakan', 'enak', 'layan', 'bagus', 'sempat', 'minta', 'layan', 'mbak', 'cepat']","['enak', 'bagus']"
"['layan', 'muas', 'bersih', 'semua', 'kamar', 'ruang', 'selalu', 'jaga', 'cukup', 'tarik']",['bersih']
"['inap', 'sangat', 'nyaman', 'alhamdulillah', 'lokasi', 'sangat', 'strategis', 'layan', 'cukup', 'ramah', 'keliling', 'hotel', 'banyak', 'tempat', 'makan', 'enak', 'seberang', 'hotel', 'bakmi', 'batas', 'kota', 'nyata', 'enak', 'makin', 'malam', 'makin', 'rame', 'unjung']","['nyaman', 'ramah', 'enak', 'seberang', 'bakmi', 'batas', 'enak']"
"['sarap', 'pagi', 'sangat', 'enak', 'enak', 'layan', 'atas', 'nama', 'sangat', 'cepat', 'ramah']","['enak', 'enak', 'ramah']"
"['fasilitas', 'kamar', 'hotel', 'lengkap', 'kendala', 'parkir', 'pada', 'makan', 'lengkap', 'banyak', 'pilih', 'mulai', 'menu', 'modern', 'tradisional', 'minum', 'lengkap']",[]
"['bagus', 'kamar', 'bersih', 'paling', 'enak']","['bagus', 'bersih', 'enak']"
"['sarap', 'mantap']",[]
"['iftar', 'sini', 'seru', 'tempat', 'nyaman', 'makan', 'enak', 'layan', 'sangat', 'baik']","['nyaman', 'enak', 'baik']"
"['hotel', 'kamar', 'bagus', 'nyaman', 'bersih', 'sarap', 'sangat', 'lengkap', 'mulai', 'makan', 'banyak', 'sekali', 'sedia', 'aneka']","['bagus', 'nyaman', 'bersih']"
"['sarap', 'enak', 'telur', 'baik', 'buat', 'simpan', 'orang', 'tunggu', 'buat', 'telur', 'lama']","['enak', 'baik']"
"['hotel', 'bagus', 'lokasi', 'strategis', 'tugas', 'ramah', 'suka', 'bunyi', 'kursi', 'pindah', 'cuman', 'front', 'ajak', 'komunikasi', 'atas', 'masalah', 'sebut', 'moga', 'makan', 'lebih', 'enak']","['bagus', 'ramah', 'bunyi', 'ajak', 'enak']"
"['sarap', 'enak', 'variatif', 'layan', 'mbak', 'lena', 'sangat', 'baik']","['enak', 'baik']"
"['lokasi', 'strategis', 'ruang', 'nyaman', 'makan', 'enak', 'higienis', 'dekat', 'stasiun', 'jadi', 'orang', 'solo', 'sangat', 'nyaman', 'nikmat', 'inap']","['nyaman', 'enak', 'higienis', 'nyaman']"
"['pertama', 'kali', 'anak', 'ajak', 'sama', 'malam', 'baru', 'masuk', 'layan', 'ramah', 'semua']","['ajak', 'ramah']"
"['hotel', 'sangat', 'bagus', 'walaupun', 'kamar', 'agama', 'kecil', 'makan', 'enak']","['bagus', 'enak']"
"['layan', 'ramah', 'lokasi', 'mudah', 'cari', 'masakan', 'enak', 'agam', 'sayang', 'kamar', 'pesan', 'punya']","['ramah', 'enak']"
"['tempat', 'bagus', 'enak', 'kamar', 'hotel', 'sangat', 'dingin', 'layan', 'mantap']","['bagus', 'enak']"
"['inap', 'hotel', 'sangat', 'nyaman', 'menu', 'muas', 'layan', 'prima']",['nyaman']
"['alam', 'inap', 'sana', 'seru', 'lokasi', 'strategis', 'sama', 'fasilitas', 'umum', 'lain']",[]
"['nasi', 'goreng', 'hijau', 'mantap', 'atas', 'layan', 'ramah', 'sukses']",['ramah']
"['hotel', 'nyaman', 'kolam', 'renang', 'luas', 'makan', 'restoran', 'variasi', 'rasa', 'enak', 'keluar', 'kecil', 'nyaman', 'sukses', 'selalu']","['nyaman', 'enak', 'nyaman']"
"['salah', 'satu', 'hotel', 'bintang', 'lima', 'pusat', 'kota', 'pilih', 'hotel', 'acara', 'tahun', 'datang', 'buat', 'kecewa', 'layan', 'kamar', 'semua', 'alas']",['kecewa']
"['menu', 'saji', 'cukup', 'baik', 'banyak', 'aneka', 'ragam', 'menu', 'nusantara', 'luar', 'lebih', 'perhati', 'wedang', 'ronde', 'kurang', 'panas', 'saji', 'masak', 'lebih', 'jadi', 'saji', 'dingin']","['baik', 'masak']"
"['nyaman', 'rangka', 'dinas']",['nyaman']
"['layan', 'ramah']",['ramah']
"['sarap', 'layan', 'sama', 'lena']",[]
"['makan', 'cukup', 'agam', 'cuma', 'rang', 'manis', 'asin', 'kamar', 'cukup', 'kaget', 'beda', 'beberapa', 'tahun', 'akhir']",[]
"['lokasi', 'strategis', 'varian', 'masakan', 'keren', 'bagus', 'wajib']","['keren', 'bagus']"
"['sarap', 'pagi', 'sangat', 'enak', 'menu', 'lengkap', 'muas', 'layan', 'atas', 'nama', 'baik', 'ramah', 'cepat']","['enak', 'baik', 'ramah']"
"['layan', 'makan', 'enak', 'terima', 'kasih']",['enak']
"['tanggap', 'hilang', 'belum', 'pihak', 'laku', 'tindak', 'lanjut', 'tindak', 'tegas', 'siapa', 'bukti', 'terima', 'kasih', 'moga', 'jadi', 'aman', 'makin', 'tingkat']","['tindak', 'tindak', 'tegas', 'bukti']"
"['layan', 'fasilitas', 'sangat', 'muas']",[]
"['makan', 'saji', 'selalu', 'baru', 'banyak', 'macam', 'layan', 'cepat', 'tempat', 'bersih']",['bersih']
"['terima', 'kasih', 'layan', 'inap', 'sini', 'banyak', 'menu', 'enak', 'walaupun', 'beberapa', 'kendala', 'teknis', 'hotel', 'sigap', 'bantu']","['enak', 'teknis']"
"['hotel', 'bagus', 'lengkap', 'mandi', 'sangat', 'bagus', 'makan', 'cukup', 'enak', 'lokasi', 'tengah', 'kota', 'layan', 'sangat', 'buruk', 'sama', 'rombong', 'orang', 'masuk', 'kamar', 'hotel', 'hotel']","['bagus', 'bagus', 'enak']"
"['makan', 'enak', 'semua', 'muas']",['enak']
"['layan', 'bagus', 'mungkin', 'lebih', 'variasi', 'unik', 'gosok', 'gigi', 'sangat', 'suka']",['bagus']
"['kamar', 'luas', 'lokasi', 'strategis', 'pusat', 'kota', 'layan', 'cukup', 'makan', 'berat', 'kurang', 'variatif', 'lebih', 'banyak', 'terima', 'pesan', 'luar', 'resepsionis', 'hotel', 'minta', 'simpan', 'resepsionis']",[]
"['cukup', 'puas', 'layan', 'ramah', 'lena']","['puas', 'ramah']"
"['layan', 'luar', 'biasa', 'bagus', 'makan', 'banyak', 'variasi', 'enak', 'kamar', 'nyaman']","['bagus', 'enak', 'nyaman']"
"['saji', 'makan', 'enak', 'layan', 'ramah', 'layan', 'tugas', 'nama']","['enak', 'ramah']"
"['layan', 'restoran', 'ramah', 'menu', 'sarap']",['ramah']
"['kamar', 'tawar', 'cukup', 'baik', 'kait', 'koordinasi', 'kena', 'mohon', 'tingkat', 'pihak', 'hotel', 'tamu', 'kunjung']",['baik']
"['hotel', 'bintang', 'benar', 'fasilitas', 'desain', 'hotel', 'bilang', 'kurang', 'gambar', 'bintang', 'sesuai', 'harga', 'bilang', 'salah', 'satu', 'paling', 'jangkau']",['sesuai']
