stemmed_tokens,clean_sangat
"['hotel', 'makan', 'enak', 'lengkap', 'hotel', 'bersih', 'badan', 'bagus', 'tetap', 'konsisten', 'semangat', 'tamu', 'sangat']","['enak', 'bersih', 'bagus', 'konsisten', 'semangat']"
"['rasa', 'makan', 'sarap', 'enak', 'banyak', 'variasi', 'bantu', 'mbak', 'lena']",['enak']
"['sangat', 'suka', 'layan', 'sangat', 'ramah', 'sarap', 'pagi', 'layan', 'baik', 'moga', 'hotel', 'pesan', 'kamar', 'layan', 'ramah']","['ramah', 'baik', 'ramah']"
"['mantap', 'pokok', 'bikin', 'hotel']",[]
"['layan', 'ramah', 'sekali', 'makan', 'enak', 'tempat', 'nyaman', 'beri', 'layan', 'baik']","['ramah', 'enak', 'nyaman', 'baik']"
"['layan', 'kamar', 'rapi', 'bersih', 'semua', 'fungsi', 'baik', 'semua', 'enak', 'front']","['bersih', 'baik', 'enak']"
"['sangat', 'luar', 'biasa', 'cita', 'rasa', 'variasi', 'makan']",[]
"['hotel', 'lokasi']",[]
"['hotel', 'cukup', 'besar', 'kalau', 'lihat', 'mepet', 'hotel', 'cukup', 'luas', 'cukup', 'bagus', 'tugas', 'betul', 'sapa', 'tamu', 'datang', 'utama', 'tugas']",['bagus']
"['sarap', 'banyak', 'madam', 'rasa', 'enak']",['enak']
"['kamar', 'bersih', 'nyaman', 'makan', 'enak', 'banyak', 'jenis']","['bersih', 'nyaman', 'enak']"
"['menu', 'enak', 'variasi', 'banyak', 'layan', 'bagus', 'sekali', 'nyaman', 'tempat']","['enak', 'bagus', 'nyaman']"
"['benar', 'mandi', 'rendam', 'lihat', 'sangat', 'keruh', 'kotor', 'dalam', 'bagi', 'balkon', 'saking', 'jarang', 'bersih', 'dapat', 'tumbuh', 'jalar', 'bagi', 'sudut', 'lantai', 'balkon']","['bersih', 'tumbuh', 'jalar']"
"['kamar', 'mewah', 'nyaman', 'bersih', 'layan', 'beri', 'staf', 'ramah', 'semua', 'cocok', 'santa', 'keluarga', 'kolam', 'renang']","['nyaman', 'bersih', 'ramah']"
"['sangat', 'puas', 'fasilitas', 'hotel', 'sarap', 'pagi', 'sangat', 'enak', 'layan', 'atas', 'nama', 'sangat', 'ramah', 'baik']","['puas', 'enak', 'ramah', 'baik']"
"['kamar', 'suka', 'bagus', 'estetik', 'rusa', 'sedikit', 'pintu']","['bagus', 'estetik']"
"['trip', 'poin', 'pagi', 'cerah', 'awal']",[]
"['layan', 'sangat', 'muas', 'bagai', 'macam', 'varian', 'selurah', 'rasa', 'enak', 'mantap']","['selurah', 'enak']"
"['lokasi', 'strategis', 'kalau', 'pagi', 'hari', 'kerja', 'macet', 'menu', 'sarap', 'kurang', 'variatif']",[]
"['kamar', 'bersih', 'tugas', 'semua', 'ramah', 'makan', 'semua', 'enak', 'kalau', 'sini', 'makan', 'antar', 'kamar', 'anak', 'kurang', 'sehat', 'tata', 'sangat', 'cantik', 'gugah', 'selera', 'terima', 'kasih']","['bersih', 'ramah', 'enak', 'cantik', 'gugah']"
"['makan', 'muas', 'kamar', 'saran', 'masuk', 'handuk', 'mandi', 'kurang', 'kelas', 'terima', 'kasih']",[]
"['lokasi', 'dekat', 'tempat', 'kerja', 'datang', 'makan', 'baik', 'enak', 'layan', 'sejak', 'datang', 'baik']","['baik', 'enak', 'baik']"
"['makan', 'enak', 'banyak', 'varian', 'coba', 'bantu', 'lena']",['enak']
"['suasana', 'kamar', 'hotel', 'bagus', 'bersih', 'nyaman', 'banyak', 'enak', 'enak']","['bagus', 'bersih', 'nyaman', 'enak', 'enak']"
"['menu', 'makan', 'variatif', 'enak', 'jangan', 'lupa', 'kunjung']",['enak']
"['layan', 'sangat', 'bagus', 'tempat', 'nyaman', 'makan', 'enak', 'enak']","['bagus', 'nyaman', 'enak', 'enak']"
"['layan', 'ramah', 'makan', 'enak', 'tempat', 'nyaman']","['ramah', 'enak', 'nyaman']"
"['sarap', 'bantu', 'lena']",[]
"['layan', 'sangat', 'profesional', 'makan', 'rasa', 'standar', 'hotel', 'bintang', 'sedikit', 'saran', 'kamar', 'sedia', 'lampu', 'lebih', 'terang', 'utama', 'area', 'meja', 'ajar', 'sekali', 'hotel']",['ajar']
"['layan', 'baik', 'nyaman']","['baik', 'nyaman']"
"['hotel', 'nyaman', 'layan']",['nyaman']
"['lokasi', 'strategis', 'kamar', 'bersih', 'makan', 'minum', 'lumayan', 'ramah', 'ketemu', 'mahasiswa', 'hotel', 'sedang', 'praktek', 'ramah', 'selalu', 'senyum', 'terima', 'kasih', 'mbak', 'moga', 'lancar', 'wisuda']","['bersih', 'ramah', 'mahasiswa', 'ramah', 'lancar']"
"['luas', 'menu', 'lengkap', 'suka', 'banyak', 'makan', 'tradisional', 'susah', 'temu', 'buat', 'kerja', 'libur', 'keluarga']",[]
"['sangat', 'enak', 'lengkap', 'layan', 'mbak', 'lena']",['enak']
"['enak', 'ruang', 'besar', 'nyaman', 'layan']","['enak', 'nyaman']"
"['inap', 'malam', 'hotel', 'sembunyi', 'samping', 'apabila', 'bawa', 'sewa', 'mobil', 'masalah', 'proses', 'cepat', 'kamar', 'cukup', 'nyaman', 'sedia', 'bantal', 'guling']","['sembunyi', 'sewa', 'nyaman']"
"['sarap', 'pagi', 'enak']",['enak']
"['lama', 'tempat', 'hari', 'pemberitahuan', 'tempat', 'enggak', 'banget', 'sesak', 'gelap', 'mana', 'bawa', 'anak', 'kecil', 'segera', 'buru', 'pulang', 'benah']","['pemberitahuan', 'enggak', 'sesak', 'buru']"
"['nyaman', 'bersih', 'pokok']","['nyaman', 'bersih']"
"['layan', 'bagus', 'kamar', 'nyaman', 'tempat', 'strategis']","['bagus', 'nyaman']"
"['kamar', 'layan', 'baik', 'enak', 'pilih', 'banyak', 'lokasi', 'strategis']","['baik', 'enak']"
"['sarap', 'enak', 'banyak', 'pilih', 'variasi']",['enak']
"['tempat', 'nyaman', 'layan', 'baik']","['nyaman', 'baik']"
"['hotel', 'bagus', 'layan', 'bersih', 'jaga']","['bagus', 'bersih']"
"['layan', 'bagus', 'ramah', 'cekat', 'sukses']","['bagus', 'ramah', 'cekat']"
"['muas', 'lokasi', 'cukup', 'strategis', 'akses', 'bagai', 'tempat', 'cuku', 'mudah']",['cuku']
"['hotel', 'bintang', 'milik', 'desain', 'elegan', 'letak', 'strategis', 'jalan', 'milik', 'gedung', 'lantai', 'sedia', 'kamar', 'mulai', 'hingga', 'standar', 'sini', 'sedia']",[]
"['bekal', 'kamar', 'enak', 'banget', 'rapi', 'bersih', 'luas', 'makan', 'enak', 'variatif', 'betul', 'makan', 'hotel', 'hari', 'menu', 'enak', 'semua', 'moga', 'kalo', 'sempat']","['bekal', 'enak', 'bersih', 'enak', 'enak']"
"['hotel', 'parah', 'masa', 'minum', 'botol', 'standar', 'bayar', 'botol', 'kaca', 'kata', 'standar', 'botol', 'hari', 'mending', 'hotel', 'royal', 'minum', 'standar', 'bayar', 'botol', 'kaca', 'resepsionis']","['mending', 'royal']"
"['lokasi', 'sangat', 'strategis', 'makan', 'enak', 'bagai', 'macam', 'dekat', 'fasilitas', 'umum']",['enak']
"['malam', 'inap', 'sini', 'cukup', 'baik', 'perlu', 'jadi', 'perhati', 'kualitas', 'kamar', 'kurang', 'proporsional', 'sulit', 'kemudian', 'nyata', 'pakai']","['baik', 'proporsional', 'sulit']"
"['terima', 'kasih', 'enak', 'baik']","['enak', 'baik']"
"['layan', 'sangat', 'sopan', 'ramah', 'komunikatif']","['ramah', 'komunikatif']"
"['hotel', 'bagus', 'fasilitas', 'tempat', 'luas', 'pokok', 'baik']","['bagus', 'baik']"
"['layan', 'sangat', 'muas', 'hotel', 'sangat', 'bersih', 'bagai', 'hidang', 'beda', 'beda', 'hari']",['bersih']
"['dasar', 'alam', 'kunjung', 'bulan', 'hotel', 'kurang', 'muas', 'hotel', 'bintang', 'lima']",['dasar']
"['dadak', 'cari', 'tempat', 'malam', 'akhir', 'inap', 'sini', 'masuk', 'bagus', 'banyak', 'lampu', 'lampu', 'bersih']","['dadak', 'bagus', 'bersih']"
"['makan', 'enak', 'layan', 'bagus', 'tahan', 'selalu']","['enak', 'bagus']"
"['layan', 'makan', 'enak']",['enak']
"['hotel', 'baik', 'pernah', 'singgah', 'kamar', 'besar', 'bersih', 'panas', 'alir', 'sangat', 'lancar', 'dingin', 'sarap', 'enak', 'enak', 'banget', 'varian', 'sangat', 'rasa', 'pulang']","['baik', 'bersih', 'lancar', 'enak', 'enak']"
"['kamar', 'biasa', 'staf', 'kolam', 'renang', 'kurang', 'latih', 'kurang', 'lagu', 'jadi', 'sepi', 'banget', 'meja', 'sayang', 'presentasi', 'minum', 'rasa', 'kurang', 'kelas', 'servis', 'pilih', 'muas']","['latih', 'presentasi']"
"['layan', 'sangat', 'baik', 'buat', 'tulis', 'nyata', 'beri', 'dekor', 'ranjang', 'terima', 'kasih']","['baik', 'dekor', 'ranjang']"
"['kamar', 'bersih', 'milik', 'menu', 'lokal', 'layan', 'baik', 'ramah']","['bersih', 'baik', 'ramah']"
"['makan', 'enak', 'layan', 'sangat', 'ramah', 'baik']","['enak', 'ramah', 'baik']"
"['restoran', 'sini', 'sangat', 'jaga', 'bersih', 'makan', 'restoran', 'bagus']","['bersih', 'bagus']"
"['inap', 'kamar', 'superior', 'kamar', 'cukup', 'luas', 'nyaman', 'lokasi', 'hotel', 'sangat', 'strategis', 'staf', 'sangat', 'ramah', 'sedikit', 'kurang', 'fasilitas', 'parkir', 'jalan', 'tuju', 'keluar', 'sempit']","['nyaman', 'ramah']"
"['alhamdulillah', 'luar', 'biasa', 'makan', 'layan', 'paket', 'pokok', 'banget', 'hotel']",[]
"['libur', 'sama', 'keluarga', 'anak', 'usia', 'pakai', 'kamar', 'tipe', 'luas', 'sofa', 'pakai', 'kalaupun', 'muat', 'kamar', 'luas', 'meski']","['muat', 'meski']"
"['layan', 'sangat', 'baik', 'ramah']","['baik', 'ramah']"
"['sarap', 'sangat', 'lengkap', 'bantu', 'nilai']",[]
"['sangat', 'sesuai', 'suka', 'banget', 'sama', 'hotel', 'segi', 'tata', 'letak', 'jauh', 'kota', 'hotel', 'lengkap', 'fasilitas', 'sangat', 'banget', 'tambah', 'selalu']",['sesuai']
"['banyak', 'atas', 'semua', 'keluarga', 'rasa', 'senang', 'singgah', 'tempat', 'sekali', 'atas', 'layan']",['senang']
"['hotel', 'strategis', 'bantal', 'nyaman', 'guling', 'ramah', 'sarap', 'lengkap', 'menu', 'andal', 'arif', 'lokal', 'khas', 'makin', 'betah', 'jumpa']","['nyaman', 'ramah', 'andal']"
"['layan', 'baik', 'makan', 'enak']","['baik', 'enak']"
"['ramah', 'baru', 'langsung', 'jemput', 'barang', 'bawa', 'antar', 'kamar', 'tulus', 'kasih', 'makan', 'pagi', 'enak', 'malam', 'dekat', 'piano', 'papan', 'catur', 'kolam', 'renang', 'lantai']","['ramah', 'jemput', 'enak', 'papan', 'catur']"
"['makan', 'banyak', 'varian']",[]
"['inap', 'malam', 'sini', 'rugi', 'fasilitas', 'lengkap', 'kolam', 'renang', 'lantai', 'atas', 'kamar', 'ering', 'rambut', 'kamar', 'rapi', 'bersih', 'kamar', 'madi', 'bersih', 'mandi', 'pakai', 'panas', 'nyanyi', 'serasa', 'sedang', 'konser', 'musik', 'tahan', 'mantap']","['rugi', 'rambut', 'bersih', 'bersih', 'nyanyi', 'konser']"
"['sarap', 'hari', 'enak', 'muas']",['enak']
"['tempat', 'strategis', 'ramah', 'banget']",['ramah']
"['layan', 'ramah', 'lokasi', 'strategis', 'kamar', 'nyaman']","['ramah', 'nyaman']"
"['lokasi', 'jauh', 'pusat', 'kota', 'siksa', 'kalau', 'jalan', 'hotel', 'sibuk', 'kamar', 'cukup', 'luas', 'nyaman', 'kamar', 'mandi', 'sempit', 'handuk']",['nyaman']
"['sangat', 'senang', 'puas', 'layan', 'ramah', 'kamar']","['senang', 'puas', 'ramah']"
"['sini', 'nyaman', 'banget', 'elegan', 'sangat', 'bersih', 'tempat', 'nyaman', 'keluar', 'kolam', 'renang', 'gunung', 'rapi', 'harga', 'cocok', 'dompet', 'lokasi', 'dekat', 'pokok', 'sangat']","['nyaman', 'bersih', 'nyaman']"
"['lihat', 'manajemen', 'hotel', 'siap', 'terima', 'rombong', 'banyak', 'banyak', 'serta', 'sore', 'kuantitas', 'makan', 'cukup', 'banyak', 'rasa', 'kurang', 'enak', 'kelas', 'hotel', 'bintang']","['kuantitas', 'enak']"
"['senang', 'sekali', 'coba', 'inap', 'buah', 'alam', 'cukup', 'kesan', 'hotel', 'luas', 'fasilitas', 'lengkap', 'bersih', 'lorong', 'lift', 'perhati', 'detail', 'fasilitas', 'kamar']","['senang', 'bersih', 'lorong']"
"['alam', 'inap', 'hotel', 'kesan', 'fasilitas', 'kamar', 'inap', 'bagus', 'rapi', 'bersih', 'wangi', 'fasilitas', 'sangat', 'muas', 'banyak', 'pilih', 'menu', 'khas', 'tradisional', 'lengkap']","['bagus', 'bersih', 'wangi']"
"['sarap', 'enak', 'enak', 'layan', 'ramah', 'lena']","['enak', 'enak', 'ramah']"
"['ramah', 'bantu', 'layan', 'sangat', 'bagus', 'iftar', 'sini', 'jadi', 'nyaman', 'spesial']","['ramah', 'bagus', 'nyaman', 'spesial']"
"['layan', 'sangat', 'muas', 'makan', 'siang', 'enak', 'pandang', 'jalan', 'atas', 'hotel', 'fasilitas', 'ruang', 'seminar', 'sangat']",['enak']
"['menu', 'sarap', 'banyak', 'varian', 'makan', 'ringan', 'makan', 'berat', 'menu']",[]
"['makan', 'enak', 'banget', 'semua', 'meni', 'hotel', 'layan', 'ramah', 'anak', 'manis', 'cantik']","['enak', 'ramah', 'cantik']"
"['makan', 'kamar', 'bagus', 'bersih', 'embak', 'gita']","['bagus', 'bersih']"
"['nyaman', 'muas', 'letak', 'makan', 'enak', 'saji', 'hangat', 'menu', 'lumayan', 'lengkap']","['nyaman', 'enak']"
"['sarap', 'cukup', 'lengkap', 'bantu', 'mbak', 'lena']",[]
"['makan', 'pagi', 'sangat', 'enak']",['enak']
"['makan', 'variasi', 'enak']",['enak']
"['nyaman', 'senang']","['nyaman', 'senang']"
"['nyaman', 'buat', 'keluarga', 'sarap', 'sesuai', 'selera', 'keluarga', 'tugas', 'ramah']","['nyaman', 'sesuai', 'ramah']"
"['banget', 'memang', 'belum', 'pernah', 'inap', 'menu', 'sangat', 'lengkap', 'layan', 'muas', 'lokasi', 'sangat', 'strategis', 'dekat', 'pusat', 'kota', 'akses', 'sangat', 'mudah']",[]
"['layan', 'hotel', 'fasilitas', 'restoran', 'semua', 'sangat', 'muas', 'bagus']",['bagus']
"['hotel', 'nyaman', 'enak', 'lengkap']","['nyaman', 'enak']"
"['inap', 'sini', 'staf', 'ramah', 'ramah', 'kamar', 'nyaman', 'dekorasi', 'sangat', 'unik', 'bikin', 'betah']","['ramah', 'ramah', 'nyaman']"
"['sangat', 'nyaman', 'kamar', 'bersih', 'makan', 'sangat', 'enak']","['nyaman', 'bersih', 'enak']"
"['kerja', 'inap', 'sini', 'malam', 'kamar', 'cukup', 'mungkin', 'baik']",['baik']
"['kamar', 'bersih', 'nyaman', 'sarap', 'enak', 'lena', 'sangat', 'bantu']","['bersih', 'nyaman', 'enak']"
"['bagus', 'makan', 'enak', 'semua', 'buat']","['bagus', 'enak']"
"['tawar', 'alam', 'inap', 'kesan', 'sentuh', 'budaya', 'kental', 'tetap', 'modern', 'lihat', 'desain', 'interior', 'nuansa', 'hingga', 'ramah', 'staf', 'lengkap', 'fasilitas', 'lengkap']","['sentuh', 'kental', 'nuansa', 'ramah']"
"['layan', 'luas', 'lengkap', 'paling', 'penting', 'lokasi', 'makan', 'enak', 'enak', 'semua', 'buat', 'lama', 'libur']","['enak', 'enak']"
"['alam', 'inap', 'bagus', 'tambah', 'luar', 'biasa', 'lengkap', 'lezat']","['bagus', 'lezat']"
"['lokasi', 'strategis', 'sarap', 'enak', 'banyak', 'pilih', 'banyak', 'menu', 'makan', 'lift', 'kalau', 'baru', 'giat', 'hotel']",['enak']
"['kamar', 'nyaman', 'pilih', 'menu', 'sarap', 'banyak', 'sekali']",['nyaman']
"['sarap', 'sangat', 'lezat', 'bantu', 'lena', 'lena', 'sangat', 'baik', 'ramah']","['lezat', 'baik', 'ramah']"
"['hotel', 'baik', 'milik', 'baik', 'fasilitas', 'lengkap', 'ramah', 'tempat', 'wisata', 'jarak', 'dekat', 'dekat', 'bandara', 'apabila', 'jarak', 'cukup', 'menit', 'jadi', 'teman', 'buat']","['baik', 'baik', 'ramah']"
"['kamar', 'nyaman', 'menu', 'makan', 'enak', 'lidah', 'kolam', 'renang', 'buat', 'anak', 'senang', 'libur', 'sini']","['nyaman', 'enak', 'senang']"
"['sana', 'lumayan', 'cuma', 'beberapa', 'menu', 'kurang', 'enak', 'kaya', 'ayam', 'goreng', 'bakso', 'jajan', 'pasar', 'kurang', 'rasa', 'paling', 'enak', 'kebab', 'sama', 'ayam', 'rica', 'rica', 'enak', 'banget']","['enak', 'enak', 'kebab', 'enak']"
"['nyaman', 'makan', 'enak', 'variasi']","['nyaman', 'enak']"
"['hotel', 'bintang', 'tempat', 'nyaman', 'layan', 'kamar', 'bersih', 'makan', 'enak', 'mana', 'mana']","['nyaman', 'bersih', 'enak']"
"['bersih', 'nyaman', 'layan', 'ramah', 'baik', 'meski', 'kurang', 'baik', 'layan', 'minta', 'panas', 'waktu', 'cuman', 'makan', 'habis', 'akhir', 'minta', 'sama', 'baru', 'akhir', 'sedia', 'panas', 'minum']","['bersih', 'nyaman', 'ramah', 'baik', 'meski', 'baik']"
['sarap'],[]
"['layan', 'bagus', 'makan', 'enak', 'selera', 'nusantara']","['bagus', 'enak']"
"['bersih', 'lengkap', 'setrika', 'meja', 'setrika', 'timbang', 'elektrik', 'bersih', 'sayang', 'tempat', 'sampah', 'meja', 'kopi', 'kamar', 'mandi']","['bersih', 'timbang', 'elektrik', 'bersih', 'sampah']"
"['lengkap', 'sangat', 'enak', 'layan', 'mbak', 'lena', 'baik']","['enak', 'baik']"
"['senang', 'berisik', 'potong', 'keramik', 'debu', 'kolam', 'kamar', 'tatanan', 'bagus', 'profesional']","['senang', 'berisik', 'debu', 'tatanan', 'bagus']"
"['kamar', 'bagus', 'hotel', 'gede', 'sangat', 'fasilitas', 'komplit', 'ramah', 'cantik', 'letak', 'strategis', 'waktu', 'boleh', 'sini']","['bagus', 'gede', 'ramah', 'cantik']"
"['bersih', 'kamar', 'kamar', 'mandi', 'buat', 'rasa', 'betah', 'nyaman', 'istirahat', 'laku', 'jalan', 'cukup', 'panjang', 'hotel', 'ramah', 'layan', 'jadi', 'sangat', 'teman', 'teman', 'sedang', 'cari', 'hotel']","['bersih', 'nyaman', 'istirahat', 'ramah']"
"['ukur', 'kamar', 'luas', 'balkon', 'kasur', 'empuk', 'bersih', 'nyaman', 'sangat', 'hotel']","['bersih', 'nyaman']"
"['layan', 'sangat', 'baik', 'kamar', 'makan', 'sarap', 'baik']","['baik', 'baik']"
"['layan', 'kamar', 'tempat', 'strategis']",[]
"['hotel', 'nyaman', 'bersih', 'layan', 'bagus', 'sangat', 'muas', 'menu', 'sarap', 'lumayan', 'enak', 'banyak', 'over', 'muas']","['nyaman', 'bersih', 'bagus', 'enak', 'over']"
"['bagus', 'lain', 'cuma', 'kalo', 'lantai', 'paling', 'atas', 'alias', 'suara', 'lumayan', 'dengar', 'beberapa', 'kamar', 'suara', 'lebih', 'layan', 'ramah', 'lokasi', 'strategis']","['bagus', 'alias', 'dengar', 'ramah']"
"['kali', 'inap', 'hotel', 'sangat', 'nyaman', 'kamar', 'sangat', 'bersih', 'banyak', 'pilih', 'makan', 'semua', 'enak']","['nyaman', 'bersih', 'enak']"
"['bagus', 'tempat', 'sangat', 'sayang', 'restoran', 'lantai', 'biasa', 'kecewa', 'makan']","['bagus', 'kecewa']"
"['kamar', 'sangat', 'layan', 'bagi', 'cepat', 'efisien', 'rekomendasi', 'banget', 'pokok', 'jadi', 'pilih', 'inap', 'kunjung']",['efisien']
"['sarap', 'sangat', 'enak', 'bantu', 'lena']",['enak']
"['restoran', 'menu', 'sangat', 'lengkap', 'bersih', 'staf', 'ramah', 'sambut', 'mbak']","['bersih', 'ramah']"
"['hotel', 'bersih', 'makan', 'lumayan', 'variasi', 'enak', 'enak', 'kalau', 'tambah', 'fasilitas', 'minimarket', 'langgan', 'beri', 'mudah', 'perlu', 'dadak', 'misal', 'obat', 'balut', 'wanita', 'sukses', 'selalu', 'hotel']","['bersih', 'enak', 'enak', 'dadak', 'misal', 'obat', 'balut']"
"['makan', 'kamar']",[]
"['sarap', 'kamar', 'bagus']",['bagus']
"['makan', 'enak', 'cocok', 'mantap', 'layan', 'ramah']","['enak', 'ramah']"
"['sarap', 'enak', 'banyak', 'varian', 'layan', 'staf', 'sangat', 'ramah', 'khusus', 'terima', 'kasih']","['enak', 'ramah']"
"['enak', 'layan', 'baik', 'mbak']","['enak', 'baik']"
"['makan', 'sangat', 'mulai', 'makan', 'makan']",[]
"['hotel', 'bagus', 'layan', 'ramah', 'utama', 'bagus', 'sekali', 'pokok']","['bagus', 'ramah', 'bagus']"
"['biasa', 'tamu', 'jumlah', 'banyak', 'perlu', 'tingkat', 'soal']",['jumlah']
"['hotel', 'nyaman', 'fasilitas', 'lengkap', 'kamar', 'nyaman', 'makan', 'enak', 'tambah', 'layan', 'profesional', 'kalau', 'sini', 'pasti', 'cocok', 'buat', 'libur', 'bareng', 'keluarga']","['nyaman', 'nyaman', 'enak', 'pasti']"
"['long', 'keluarga', 'hotel', 'hotel', 'kerepot', 'koper', 'sigap', 'langsung', 'musim', 'libur', 'kali', 'kamar']","['kerepot', 'musim']"
"['pertama', 'kali', 'iftar', 'sini', 'menu', 'variasi', 'enak', 'layan', 'paling', 'suka', 'cakep', 'bikin', 'kumpul', 'makin', 'kesan']","['enak', 'cakep', 'kumpul']"
"['menu', 'sarap', 'bantu', 'layan', 'lena']",[]
"['menu', 'makan', 'cukup', 'rasa', 'cukup', 'nyaman', 'tempat', 'cukup', 'pada', 'bantu', 'atas', 'nama', 'lena']",['nyaman']
"['enak', 'bubur', 'ayam', 'enak']","['enak', 'enak']"
"['nyaman', 'menu', 'enak']","['nyaman', 'enak']"
"['layan', 'sangat', 'bagus']",['bagus']
"['kamar', 'bersih', 'layan', 'ramah', 'menu', 'banyak', 'enak', 'sangat']","['bersih', 'ramah', 'enak']"
"['varian', 'makan', 'banyak', 'lengkap', 'rasa', 'enak', 'layan', 'sangat', 'baik', 'ramah']","['enak', 'baik', 'ramah']"
"['nama', 'layan', 'kayak', 'bintang', 'beda', 'sangat', 'sama', 'kota', 'kota', 'bahkan', 'sama', 'hotel', 'kalah', 'jauh', 'handuk', 'setrika', 'minta', 'barang', 'banyak', 'kerak', 'ruang', 'bantal', 'minyak', 'gosok']","['kalah', 'kerak', 'minyak']"
"['rasa', 'sarap', 'hotel', 'pagi', 'luar', 'biasa', 'lena', 'layan', 'baik', 'sekali']",['baik']
"['alam', 'senang', 'makan', 'pagi', 'sini', 'layan', 'layan']",['senang']
"['beri', 'layan', 'baik', 'kalau', 'kamar', 'jangan', 'tanya', 'kualitas', 'strategi', 'tempat', 'wisata', 'sangat', 'strategis', 'aman', 'nyaman', 'enak']","['baik', 'strategi', 'nyaman', 'enak']"
"['cukup', 'senang', 'sarap', 'standar', 'menu', 'cukup', 'variatif', 'baik', 'ramah', 'anak']","['senang', 'baik', 'ramah']"
"['lokasi', 'pusat', 'kota', 'layan', 'sangat', 'ramah', 'utama', 'makan']",['ramah']
"['hotel', 'bintang', 'sangat', 'rekomendasi', 'hotel', 'buat', 'libur', 'bareng', 'keluarga', 'kantor', 'kamar', 'layan', 'makan', 'enak']",['enak']
"['kamar', 'bagus', 'layan', 'bagus', 'staf', 'ramah', 'enak', 'variasi']","['bagus', 'bagus', 'ramah', 'enak']"
"['kamar', 'bersih', 'layan', 'cepat', 'muas', 'menu', 'sarap', 'variasi', 'rasa', 'enak', 'lokasi', 'strategis']","['bersih', 'enak']"
"['layan', 'makan', 'enak', 'beberapa', 'kali', 'hotel', 'rasa']",['enak']
"['kamar', 'bersih', 'nyaman', 'karyawan', 'ramah', 'sopan', 'ketemu', 'tamu', 'selalu', 'beri', 'salam', 'senyum', 'sarap', 'variatif', 'enak', 'enak', 'semua', 'kapan', 'kapan', 'sini', 'sama', 'keluarga', 'moga', 'bagus', 'buat', 'keluarga']","['bersih', 'nyaman', 'ramah', 'enak', 'enak', 'bagus']"
"['layan', 'hotel', 'mulai', 'hingga', 'layan']",[]
"['sangat', 'puas', 'hingga', 'semua', 'sangat', 'muas', 'inap', 'lama', 'malam', 'beri', 'kamar', 'platinum', 'sarap', 'senang', 'tempat', 'duduk']","['puas', 'senang']"
"['luar', 'biasa', 'nikmat', 'sarap', 'tenang', 'pikir', 'jernih', 'makan', 'sesuai', 'selera', 'lidah', 'orang']","['pikir', 'sesuai']"
"['lokasi', 'hotel', 'strategis', 'mudah', 'jangkau', 'dekat', 'bandara', 'hotel', 'bagus', 'layan', 'baik', 'nuansa', 'candi', 'kamar', 'nyaman', 'istirahat', 'ruang', 'temu', 'besar', 'bagai']","['bagus', 'baik', 'nuansa', 'nyaman', 'istirahat']"
"['layan', 'baik', 'ramah', 'menu', 'restoran', 'bintang']","['baik', 'ramah']"
"['kamar', 'sangat', 'bersih', 'sarap', 'lengkap', 'enak']","['bersih', 'enak']"
"['pertama', 'kali', 'inap', 'sini', 'layan', 'fasilitas', 'hotel', 'sangat', 'semua', 'ramah', 'hotel', 'bersih', 'sangat', 'nyaman']","['ramah', 'bersih', 'nyaman']"
"['hotel', 'sangat', 'rekomendasi', 'cari', 'kombinasi', 'lokasi', 'strategis', 'sabun', 'budaya', 'lokal', 'layan', 'hangat', 'fasilitas', 'lengkap', 'ideal', 'keluarga', 'maupun', 'acara', 'bisnis', 'pilih', 'kamar', 'lantai', 'tinggi', 'jauh']","['kombinasi', 'ideal']"
"['sangat', 'ramah', 'layan', 'sarap', 'pagi', 'menu', 'sangat', 'komplit', 'lezat', 'semua', 'menu']","['ramah', 'lezat']"
"['sangat', 'muas', 'makan', 'sangat', 'mantap', 'enak', 'sekali']",['enak']
"['layan', 'kamar', 'nyaman']",['nyaman']
"['kamar', 'enak', 'bersih', 'layan', 'banget']","['enak', 'bersih']"
"['fasilitas', 'bagus', 'cuma', 'pakai', 'guna', 'laptop', 'padahal', 'sinyal', 'bagus']","['bagus', 'laptop', 'bagus']"
"['cocok', 'sekali', 'enak', 'lengkap', 'servis', 'bantu', 'lena', 'baik']","['enak', 'baik']"
"['kamar', 'nyaman', 'ramah', 'lokasi', 'strategis']","['nyaman', 'ramah']"
"['kali', 'inap', 'sini', 'acara', 'kantor', 'jadi', 'sempat', 'nikmat', 'fasilitas', 'hotel', 'cuma', 'bolak', 'balik', 'kamar', 'makan', 'lumayan', 'variasi', 'relatif', 'lokasi', 'strategis', 'belah', 'jauh', 'plaza', 'bioskop']","['bolak', 'bioskop']"
"['layan', 'bagus', 'sekali', 'kamar', 'enak', 'lengkap', 'terima', 'kasih', 'lena', 'waktu']","['bagus', 'enak']"
"['nyaman', 'sarap', 'enak']","['nyaman', 'enak']"
"['layan', 'baik', 'menu', 'sarap', 'kurang', 'variasi', 'lokasi', 'strategis', 'jalan', 'depan', 'hotel', 'sering', 'macet']",['baik']
"['enak', 'banget', 'ramah', 'banget', 'lena']","['enak', 'ramah']"
"['makan', 'enak', 'banyak', 'variasi', 'layan', 'muas', 'ramah', 'sopan']","['enak', 'ramah']"
"['hotel', 'fasilitas', 'lengkap', 'layan', 'ramah', 'rekomendasi', 'cari', 'hotel']",['ramah']
