normalized,filtered
"['overall', 'nyaman', 'suasana', 'oke', 'kamar', 'juga', 'bersih', 'wangi']","['overall', 'nyaman', 'suasana', 'oke', 'kamar', 'bersih', 'wangi']"
"['bagus', 'hotel', 'tengah', 'kota', 'yogyakarta', 'kami', 'nginap', 'hari', 'cukup', 'berkesan', 'wlopun', 'belum', 'nyoba', 'semua', 'fasilitasnya', 'karena', 'tugas', 'kantor', 'namun', 'ada', 'hal', 'yang', 'kurang', 'entah', 'sop', 'atau', 'pernah', 'terjadi', 'sesuatu', 'terkait', 'keamanan']","['bagus', 'hotel', 'tengah', 'kota', 'yogyakarta', 'nginap', 'hari', 'cukup', 'berkesan', 'wlopun', 'nyoba', 'semua', 'fasilitasnya', 'tugas', 'kantor', 'kurang', 'entah', 'sop', 'pernah', 'terjadi', 'terkait', 'keamanan']"
"['senang', 'menginap', 'disini', 'makanannya', 'enak', 'enak', 'ruangannya', 'luas', 'awalnya', 'check', 'in', 'ada', 'air', 'ac', 'sedikit', 'tapi', 'tim', 'gercep', 'membetulkan', 'dan', 'semuanya', 'sangat', 'ramah', 'terutama', 'mbak', 'devita', 'dan', 'satunya', 'mas', 'siapa', 'kemarin', 'malam', 'ya', 'yang', 'langsung', 'gercep', 'menghubungi', 'teknisi', 'ketika', 'ada', 'permasalahan', 'di', 'ac']","['senang', 'menginap', 'disini', 'makanannya', 'enak', 'enak', 'ruangannya', 'luas', 'awalnya', 'check', 'in', 'air', 'ac', 'sedikit', 'tim', 'gercep', 'membetulkan', 'semuanya', 'sangat', 'ramah', 'terutama', 'mbak', 'devita', 'satunya', 'mas', 'siapa', 'kemarin', 'malam', 'langsung', 'gercep', 'menghubungi', 'teknisi', 'permasalahan', 'ac']"
"['tempatnya', 'nyaman', 'staffnya', 'baik']","['tempatnya', 'nyaman', 'staffnya', 'baik']"
"['untuk', 'sarapan', 'paginya', 'sangat', 'enak', 'banyak', 'menunya', 'dan', 'layanan', 'atas', 'nama', 'fifin', 'sangat', 'bagus', 'semuanya', 'memuaskan']","['sarapan', 'paginya', 'sangat', 'enak', 'banyak', 'menunya', 'layanan', 'atas', 'nama', 'fifin', 'sangat', 'bagus', 'semuanya', 'memuaskan']"
"['makanannya', 'enak', 'tempatnya', 'nyaman', 'lokasi', 'dekat', 'dengan', 'perkotaan', 'dan', 'depan', 'jalan', 'raya', 'bagus', 'untuk', 'staycation', 'berhari', 'hari', 'sesuai', 'harapan', 'dan', 'recomend', 'buat', 'nginep']","['makanannya', 'enak', 'tempatnya', 'nyaman', 'lokasi', 'dekat', 'perkotaan', 'depan', 'jalan', 'raya', 'bagus', 'staycation', 'berhari', 'hari', 'sesuai', 'harapan', 'recomend', 'buat', 'nginep']"
"['makanannya', 'enak', 'paling', 'favorit', 'nasi', 'goreng', 'buat', 'anak', 'dan', 'overalla', 'good']","['makanannya', 'enak', 'paling', 'favorit', 'nasi', 'goreng', 'buat', 'anak', 'overalla', 'good']"
"['sebelumnya', 'pernah', 'menginap', 'di', 'mercure', 'surabaya', 'pontianak', 'dibanding', 'kedua', 'hotel', 'tsb', 'menurut', 'saya', 'untuk', 'sisi', 'rasa', 'pada', 'menu', 'breakfast', 'mercure', 'yogya', 'kurang', 'nendang', 'alhasil', 'kali', 'breakfast', 'mengambil', 'menu', 'yang', 'sama', 'yaitu', 'gudeg', 'lebih', 'karena']","['sebelumnya', 'pernah', 'menginap', 'mercure', 'surabaya', 'pontianak', 'dibanding', 'kedua', 'hotel', 'tsb', 'sisi', 'rasa', 'menu', 'breakfast', 'mercure', 'yogya', 'kurang', 'nendang', 'alhasil', 'kali', 'breakfast', 'mengambil', 'menu', 'sama', 'gudeg', 'lebih']"
"['suka', 'banget', 'hospitality', 'top', 'untuk', 'makanan', 'minuman', 'enak', 'dan', 'nyaman', 'kalau', 'boleh', 'banyakkin', 'menu', 'asal', 'jogja', 'lagi', 'ya', 'heheh', 'gudeg', 'lupis', 'getuk', 'pecel']","['suka', 'banget', 'hospitality', 'top', 'makanan', 'minuman', 'enak', 'nyaman', 'kalau', 'banyakkin', 'menu', 'asal', 'jogja', 'heheh', 'gudeg', 'lupis', 'getuk', 'pecel']"
"['sarapan', 'menu', 'sangat', 'bnyk', 'n', 'enak', 'pelayanannya', 'sangat', 'ramah', 'devita']","['sarapan', 'menu', 'sangat', 'bnyk', 'n', 'enak', 'pelayanannya', 'sangat', 'ramah', 'devita']"
"['saya', 'setiap', 'merayakan', 'tahun', 'baru', 'selalu', 'nginap', 'hotel', 'di', 'yogyakarta', 'atau', 'di', 'semarang', 'baru', 'mengalami', 'di', 'hotel', 'ini', 'untuk', 'gala', 'dinner', 'harus', 'reservasi', 'bayar', 'pack', 'orang', 'biasanya', 'free', 'orang', 'per', 'kamar', 'sisanya', 'baru', 'bayar', 'untuk', 'hotel']","['merayakan', 'tahun', 'baru', 'selalu', 'nginap', 'hotel', 'yogyakarta', 'semarang', 'baru', 'mengalami', 'hotel', 'gala', 'dinner', 'reservasi', 'bayar', 'pack', 'orang', 'biasanya', 'free', 'orang', 'per', 'kamar', 'sisanya', 'baru', 'bayar', 'hotel']"
"['proses', 'booking', 'responnya', 'sangat', 'lambat', 'akhirnya', 'krn', 'kamar', 'yang', 'dipesan', 'keburu', 'habis', 'diupgrade', 'pelayanan', 'lain', 'memuaskan']","['proses', 'booking', 'responnya', 'sangat', 'lambat', 'akhirnya', 'krn', 'kamar', 'dipesan', 'keburu', 'habis', 'diupgrade', 'pelayanan', 'memuaskan']"
"['secara', 'keseluruhan', 'untuk', 'makanan', 'enaak', 'kecuali', 'krecek', 'terlalu', 'oily', 'encer', 'hotel', 'bagus', 't', 'strategis']","['keseluruhan', 'makanan', 'enaak', 'krecek', 'terlalu', 'oily', 'encer', 'hotel', 'bagus', 't', 'strategis']"
